Contractor;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV
BOB PT. BUMI SIAK PUSAKO - PERTAMINA HULU;8514;8911;8621;8633;8686;8483;8436;8448;8224;8180;8625
BP BERAU LTD;5831;5703;5322;5287;4262;6090;5915;5873;4812;5339;5855
CAMAR RESOURCES CANADA INC.;9;0;36;311;206;177;0;0;0;0;0
CHEVRON MAKASSAR LTD;1057;1235;1229;1229;1054;931;886;848;953;861;1111
CHEVRON RAPAK LTD.;726;710;708;677;677;660;655;605;578;545;583
CITIC SERAM ENERGY LTD;1517;1521;1522;1543;1508;1534;1484;1535;1408;1344;1490
PT PERTAMINA HULU ENERGI OSES;24003;23580;24463;26057;25365;24020;22708;23894;23031;25014;24978
CONOCOPHILLIPS (GRISSIK) LTD.;5990;5428;10330;6763;3805;5642;9253;8164;7322;5985;6693
ENERGI MEGA PERSADA MALACCA STRAIT S.A.;4533;4744;4650;4470;4531;4945;4687;4456;4796;4882;5144
ENERGY EQUITY EPIC (SENGKANG) PTY. LTD.;1;1;1;0;2;0;0;1;1;1;1
ENI MUARA BAKAU B.V.;690;1474;1533;1174;1185;1206;1130;1143;1127;1117;1065
HUSKY-CNOOC MADURA LTD.;6758;6671;5940;5283;6275;7122;7075;6949;6838;6511;6787
PT PERTAMINA HULU ENERGI RAJA TEMPIRAI;368;332;317;297;194;192;298;329;327;253;270
JOB PERTAMINA - MEDCO TOMORI SULAWESI LTD;7870;7718;7373;7619;6602;7606;7675;7772;879;7319;6377
PETROGAS (ISLAND) LTD.;788;771;705;725;720;733;878;833;867;822;810
KALREZ PETROLEUM (SERAM) LTD;222;218;210;203;201;211;201;201;189;211;214
KANGEAN ENERGI INDONESIA;63;69;78;72;69;61;63;67;65;62;46
MINARAK BRANTAS GAS INC.;0;0;0;0;0;0;0;0;0;0;0
MANDALA ENERGY LEMANG PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
MEDCO E & P NATUNA;16479;16176;15865;15158;13433;12855;12471;14055;12941;12489;11490
MOBIL CEPU LTD;217068;213604;209117;204462;200938;202002;204642;207759;199684;193381;191628
MONTDOR (SALAWATI) LTD.;30;22;29;22;32;21;32;20;30;19;30
MONTDOR OIL TUNGKAL LTD;739;751;666;689;759;719;675;658;630;647;596
PEARL OIL (SEBUKU) LTD.;21;36;34;27;31;35;25;27;15;20;19
OPHIR INDONESIA (BANGKANAI) LIMITED.;489;463;493;489;478;483;447;478;477;470;471
PERTAMINA HULU ENERGI KAMPAR;886;882;805;733;819;912;1005;933;862;970;985
PERTAMINA HULU ENERGI ONWJ LTD;29470;29276;29257;25292;26302;26515;24234;25831;27397;28040;26199
PERTAMINA HULU ENERGI SIAK;1663;1647;1717;1802;1739;1877;1777;1670;1590;1594;1536
PERTAMINA HULU ENERGI WEST MADURA OFFSHORE;2743;2660;2554;2468;2416;2450;2362;2408;2016;1976;1968
PETROCHINA INTERNATIONAL BANGKO LTD;171;202;166;167;146;152;142;129;129;133;135
PETROCHINA INTERNATIONAL JABUNG LTD;15060;14322;14857;14960;15040;14930;15759;15773;16263;16161;16154
PETROGAS (BASIN) LTD;4525;4578;4518;4681;4562;4555;4779;4457;4227;4302;4335
PETRONAS CARIGALI (KETAPANG) LTD;8077;7543;7755;7430;7488;6351;7114;6855;6731;6507;6313
PHE OGAN KOMERING;1277;1224;1336;1612;1765;1765;1728;1727;1666;1683;1666
PHE TUBAN EAST JAVA;1407;1336;1224;1193;976;973;863;1085;952;1015;984
PHM;30342;28965;25588;25860;24840;26016;24434;22137;23899;20398;24032
PREMIER OIL INDONESIA;1852;1946;1910;1739;1797;1168;1047;1802;1719;1655;1382
PT PERTAMINA HULU ENERGI JAMBI MERANG;4895;4882;4796;4678;4780;4638;4556;4840;3880;3222;4437
PT PERTAMINA HULU KALIMANTAN TIMUR;8341;8418;9547;9173;9387;9691;9366;9183;9609;9291;9153
PT PERTAMINA HULU SANGA SANGA;11887;12042;11607;11417;11622;12173;12547;13089;12902;12810;11807
PT PERTAMINA HULU ROKAN;163827;161572;163294;159093;157828;158319;159516;158857;157965;159084;161921
PT. ENERGI MEGA PERSADA TONGA;0;0;0;0;0;0;0;0;0;0;0
PT. PERTAMINA EP;73879;73860;72997;72274;71952;70881;69894;68534;69887;70932;69958
PT. SARANA PEMBANGUNAN RIAU LANGGAK;534;530;534;527;536;529;529;509;501;504;485
PT. SELERAYA MERANGIN DUA;2440;2346;2308;2782;2790;2910;3147;3086;3438;3455;3422
PT.MEDCO E&P INDONESIA;4077;3871;3760;3350;3478;3348;3381;3342;3100;3299;3200
PT.MEDCO E&P RIMAU;6301;6367;6414;6309;6161;5997;5915;5847;5699;5798;5557
PT.MEDCO E&P TARAKAN;1014;1033;1007;1032;1026;1006;1053;874;886;913;737
SAKA INDONESIA PANGKAH LTD;4093;4019;3319;3476;4080;4150;4123;5321;5097;6551;6554
OPHIR INDONESIA (SAMPANG) PTY. LTD.;129;140;132;129;117;108;137;139;137;132;137
STAR ENERGY LTD;1449;1327;1391;1348;1361;1296;1348;1169;1094;885;884
TATELY N.V.;131;132;131;136;131;130;103;154;157;247;201
TIARA BUMI PETROLEUM;112;102;102;101;99;71;81;82;149;146;143
PT TROPIK ENERGI PANDAN;171;169;156;120;90;137;95;70;66;54;45
PT MEDCO E&P MALAKA;976;961;762;26;452;376;1195;1435;1480;1392;1535
PT ODIRA ENERGY KARANG AGUNG;222;349;309;380;420;356;411;346;422;364;373
PT SELE RAYA BELIDA;23;27;28;38;30;33;32;35;34;30;29
PT PERTAMINA HULU ENERGI NORTH SUMATERA OFFSHORE;41;14;0;0;2;296;21;0;0;0;158
PT PEMA GLOBAL ENERGI;685;747;906;1157;885;883;1102;1266;1196;779;313
PT PERTAMINA HULU ENERGI RANDUGUNTING;7;15;8;8;6;13;6;5;12;10;8
PT PERTAMINA EP CEPU ADK;0;0;0;0;0;0;0;0;0;0;0
PT SUMATRA GLOBAL ENERGI;0;0;0;0;0;0;0;0;0;0;0
EMP GEBANG LTD.;0;0;0;0;0;0;0;0;0;0;0
ENERGI MEGA PERSADA BENTU LTD;0;0;0;0;0;0;0;0;0;0;0
JOB PERTAMINA MEDCO SIMENGGARIS;0;0;0;0;0;0;0;0;0;0;0
MANHATTAN KALIMANTAN INVESTMENT PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
STARBORN ENERGY BONTANG PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
AWE (NORTHWEST NATUNA) PTE. LTD.;0;0;0;0;0;0;0;0;0;0;0
TRIANGLE PASE INC.;0;0;0;0;0;0;0;0;0;0;0
OPHIR INDONESIA (MADURA OFFSHORE) PTY. LTD.;0;0;0;0;0;0;0;0;0;0;0
PT.MEDCO E&P LEMATANG;0;0;0;0;0;0;0;0;0;0;0
PERUSDA BENUO TAKA;0;0;0;0;0;0;0;0;0;0;0
PT MANDIRI PANCA USAHA;0;0;0;0;0;0;0;0;0;0;0
ENI EAST SEPINGGAN LTD.;0;0;0;0;0;0;0;0;0;0;0
PACIFIC OIL & GAS (KISARAN) LTD.;0;0;0;0;0;0;0;0;0;0;0
PT SUMATERA PERSADA ENERGI;0;0;0;0;0;0;0;0;0;0;0
SAKA ENERGI MURIAH LTD.;0;0;0;0;0;0;0;0;0;0;0
JINDI SOUTH JAMBI B CO. LTD;0;0;0;0;0;9;38;0;135;80;64
TEXCAL MAHATO EP LTD.;265;678;1355;1636;2154;2691;3580;3566;3453;3943;4069
PASIR PETROLEUM RESOURCES LTD.;0;0;0;0;0;0;0;0;0;0;0
PT PERTAMINA EP CEPU;0;0;0;0;0;0;0;0;0;0;0
